"Reaction Abbreviation","EC Number"
"R_NTD10","3.1.3.5"
"R_NTD10pp","3.1.3.5"
"R_NTD11","3.1.3.5"
"R_NTD11pp","3.1.3.5"
"R_NTD12","3.1.3.5"
"R_NTD12pp","3.1.3.5"
"R_NTD1pp","3.1.3.5"
"R_NTD2","3.1.3.5"
"R_NTD2pp","3.1.3.5"
"R_NTD3","3.1.3.5"
"R_NTD3pp","3.1.3.5"
"R_NTD4","3.1.3.5"
"R_NTD4pp","3.1.3.5"
"R_NTD5","3.1.3.5"
"R_NTD5pp","3.1.3.5"
"R_NTD6","3.1.3.5"
"R_NTD6pp","3.1.3.5"
"R_NTD7","3.1.3.5"
"R_NTD7pp","3.1.3.5"
"R_NTD8","3.1.3.5"
"R_NTD8pp","3.1.3.5"
"R_NTD9","3.1.3.5"
"R_NTD9pp","3.1.3.5"
"R_NTP1","3.6.1.15"
"R_NTP10","3.6.1.15"
"R_NTP11","3.6.1.15"
"R_NTP12","3.6.1.15"
"R_NTP3","3.6.1.15"
"R_NTP3pp","3.6.1.15"
"R_NTP5","3.6.1.15"
"R_NTPP10","3.6.1.19"
"R_NTPP11","3.6.1.19"
"R_NTPP9","3.6.1.19"
"R_NTPTP1","3.1.5.1"
"R_NTPTP2","3.1.5.1"
"R_OAADC","4.1.1.3"
"R_OCBT","2.1.3.3"
"R_ODECOAI","5.3.3.8"
"R_OGMEACPD","4.2.1.59"
"R_OGMEACPR","1.1.1.100"
"R_OHPBAT","2.6.1.52"
"R_OMPDC","4.1.1.23"
"R_OP4ENH","4.2.1.80"
"R_OPMEACPD","4.2.1.59"
"R_OPMEACPR","1.1.1.100"
"R_OPMEACPS","2.3.1.41"
"R_ORNDC","4.1.1.17"
"R_ORPT","2.4.2.10"
"R_OXAMTC","2.1.3.5"
"R_OXCDC","4.1.1.8"
"R_OXGDC2","4.1.1.71"
"R_P5CD","1.5.1.12"
"R_P5CR","1.5.1.2"
"R_PACCOAL","6.2.1.30"
"R_PANTS","6.3.2.1"
"R_PAPA120","3.1.3.4"
"R_PAPA120pp","3.1.3.4"
"R_PAPA140","3.1.3.4"
"R_PAPA140pp","3.1.3.4"
"R_PAPA141","3.1.3.4"
"R_PAPA141pp","3.1.3.4"
"R_PAPA160","3.1.3.4"
"R_PAPA160pp","3.1.3.4"
"R_PAPA161","3.1.3.4"
